model_name,total_number_of_flights,average_runtime_seconds
DQN Proactive-N,12,0.030
DQN Proactive-N,13,0.031
DQN Proactive-N,14,0.031
DQN Proactive-N,15,0.031
DQN Proactive-N,16,0.031
DQN Proactive-N,17,0.031
DQN Proactive-N,18,0.032
DQN Proactive-N,19,0.032
DQN Proactive-N,20,0.032
DQN Proactive-N,21,0.034
DQN Proactive-U,12,0.030
DQN Proactive-U,13,0.030
DQN Proactive-U,14,0.030
DQN Proactive-U,15,0.031
DQN Proactive-U,16,0.031
DQN Proactive-U,17,0.032
DQN Proactive-U,18,0.032
DQN Proactive-U,19,0.032
DQN Proactive-U,20,0.032
DQN Proactive-U,21,0.033
DQN Reactive,12,0.030
DQN Reactive,13,0.031
DQN Reactive,14,0.031
DQN Reactive,15,0.031
DQN Reactive,16,0.031
DQN Reactive,17,0.032
DQN Reactive,18,0.032
DQN Reactive,19,0.032
DQN Reactive,20,0.032
DQN Reactive,21,0.033
Greedy Reactive,12,0.072
Greedy Reactive,13,0.099
Greedy Reactive,14,0.138
Greedy Reactive,15,0.148
Greedy Reactive,16,0.148
Greedy Reactive,17,0.191
Greedy Reactive,18,0.208
Greedy Reactive,19,0.255
Greedy Reactive,20,0.258
Greedy Reactive,21,0.351
